x,y
1.198679279,0.276550997
1.099814327,0.237869196
1.000943645,0.179187472
0.902124538,0.30050506
0.801208018,0.601850614
0.704514978,0.643139854
0.603609919,0.984485255
0.502756436,1.505829968
0.402166563,2.947171166
0.301662649,4.688511219
0.201445267,7.42984745
0.104402657,13.75114135
0.003669518,14.69248446
-0.095453312,13.7538061
-0.19589419,8.21514531
-0.297498386,6.116500032
-0.3989937,4.397853303
-0.498093608,3.539174635
-0.597055981,3.160494134
-0.696327808,1.701817758
-0.797467822,1.223166292
-0.900630752,1.184541797
-1.001667615,1.065888956
-1.100635719,0.66720853
-1.19742618,0.36849907
-1.298394275,0.489845311
-1.397230574,0.551163128
-1.498278899,0.392510439
-1.599310031,0.293857521
-1.698123407,0.435175033
-1.799194654,0.196522649
-1.900179942,0.25786912
-1.999027702,0.27918709
-2.100081757,0.100534477
-2.198929517,0.121852448
-2.297777277,0.143170418
-2.400945937,0.084546
-2.499805158,0.065864123
-2.598647188,0.107182016
-2.699661128,0.068528869
-2.800652147,0.109875416
-2.899471253,0.231193004
-3.000502386,0.132540086
-3.101522057,0.073887015
-3.200375548,0.075205061
-3.299229038,0.076523108
-3.400242979,0.03786996
-3.501245458,0.03921666
