x,y
3,0.80168829
2,1.85711881
1,15.93046091
0,23.98453516
-1,29.93703203
-2,36.90160163
-3,44.91617778
-4,34.9740335
-5,26.97722554
-6,20.02799269
-7,23.99490702
-8,15.03251267
-9,10.10305551
-10,1.831022461
-11,1.778068515
-12,1.03583619
-13,0.872588933
-14,1.260808233
-15,0.904602498
-16,0.87922188
-17,0.440241344
-18,0.359714071
-19,0.251668287
-20,0.281489142
