x,y
1.523089172,0.115923567
1.480095541,0.083864119
1.343949045,0.121231423
1.236464968,0.457749469
1.193471338,0.525690021
1.114649682,0.394692144
1.007165605,0.197876858
0.935509554,0.333333333
0.842356688,0.736093418
0.777866242,1.004670913
0.699044586,1.273673036
0.64888535,1.475159236
0.577229299,1.877282378
0.519904459,2.345647558
0.476910828,2.81358811
0.433917197,3.281528662
0.369426752,4.216772824
0.312101911,5.151804671
0.25477707,6.086836518
0.183121019,6.88895966
0.104299363,7.357961783
0.032643312,7.893418259
-0.060509554,8.362845011
-0.13933121,8.031847134
-0.175159236,7.566242038
-0.210987261,7.100636943
-0.246815287,6.635031847
-0.318471338,5.903821656
-0.390127389,5.172611465
-0.47611465,4.641825902
-0.547770701,4.443949045
-0.619426752,4.112738854
-0.676751592,3.514437367
-0.719745223,2.982377919
-0.784235669,2.450955414
-0.863057325,2.05329087
-0.941878981,1.922292994
-1.006369427,1.857537155
-1.099522293,1.393630573
-1.199840764,0.929936306
-1.300159236,1.066242038
-1.357484076,1.067940552
-1.436305732,0.803609342
-1.522292994,0.539490446
-1.593949045,0.541613588
-1.679936306,0.677494692
-1.758757962,0.613163482
-1.844745223,0.549044586
-1.909235669,0.550955414
-1.96656051,0.485987261
-2.052547771,0.355201699
-2.138535032,0.224416136
-2.210191083,0.226539278
-2.289012739,0.228874735
-2.40366242,0.165605096
-2.496815287,0.16836518
-2.589968153,0.237791932
-2.661624204,0.173248408
-2.797770701,0.177282378
-2.905254777,0.313800425
-3.005573248,0.18343949
-3.084394904,0.085774947
-3.156050955,0.121231423
-3.220541401,0.156475584
-3.277866242,0.158174098
-3.335191083,0.126539278
-3.421178344,0.062420382
-3.47133758,0.063906582
